Label: Tib-Ant Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Label: Gcn-Med Sampling frequency: 1.000000e+003 Number of points: 23000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Auto
Use Camera: NO
Video File Path: prueba Tib-ant, Gcn-med[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],Tib-Ant [V],Gcn-Med [V]
1.090000e-001,-1.174927e-005,-7.019043e-006
1.100000e-001,-1.663208e-005,-6.866455e-006
1.110000e-001,-1.968384e-005,-4.730225e-006
1.120000e-001,-2.059937e-005,-3.967285e-006
1.130000e-001,-1.861572e-005,-2.288818e-006
1.140000e-001,-1.907349e-005,1.220703e-006
1.150000e-001,-1.892090e-005,8.544922e-006
1.160000e-001,-1.632690e-005,6.713867e-006
1.170000e-001,-1.785278e-005,7.934570e-006
1.180000e-001,-1.632690e-005,1.083374e-005
1.190000e-001,-6.713867e-006,7.629395e-006
1.200000e-001,-5.950928e-006,9.002686e-006
1.210000e-001,-6.713867e-006,1.373291e-006
1.220000e-001,-1.327515e-005,5.645752e-006
1.230000e-001,-1.541138e-005,7.019043e-006
1.240000e-001,-1.312256e-005,4.577637e-006
1.250000e-001,-1.266479e-005,3.051758e-006
1.260000e-001,-1.235962e-005,5.798340e-006
1.270000e-001,-1.647949e-005,3.204346e-006
1.280000e-001,-2.105713e-005,2.288818e-006
1.290000e-001,-2.258301e-005,-2.593994e-006
1.300000e-001,-2.304077e-005,-4.730225e-006
1.310000e-001,-2.349854e-005,-1.068115e-006
1.320000e-001,-1.495361e-005,-2.746582e-006
1.330000e-001,-8.239746e-006,3.051758e-007
1.340000e-001,-1.556396e-005,3.967285e-006
1.350000e-001,-6.713867e-006,9.155273e-006
1.360000e-001,-5.035400e-006,1.022339e-005
1.370000e-001,-4.486084e-005,1.205444e-005
1.380000e-001,-5.767822e-005,1.770020e-005
1.390000e-001,-1.708984e-005,1.586914e-005
1.400000e-001,-1.281738e-005,1.129150e-005
1.410000e-001,-9.002686e-006,9.002686e-006
1.420000e-001,6.103516e-007,4.425049e-006
1.430000e-001,-1.068115e-006,3.967285e-006
1.440000e-001,-2.136230e-006,3.051758e-007
1.450000e-001,-1.373291e-006,-4.425049e-006
1.460000e-001,-1.068115e-006,-1.373291e-006
1.470000e-001,-7.781982e-006,-6.103516e-007
1.480000e-001,-4.577637e-006,-6.866455e-006
1.490000e-001,-4.577637e-006,-9.155273e-006
1.500000e-001,-3.204346e-006,-1.296997e-005
1.510000e-001,-4.577637e-006,-1.251221e-005
1.520000e-001,-1.251221e-005,-1.068115e-005
1.530000e-001,-1.800537e-005,-9.613037e-006
1.540000e-001,-1.770020e-005,-5.340576e-006
1.550000e-001,-2.059937e-005,3.662109e-006
1.560000e-001,-1.892090e-005,6.866455e-006
1.570000e-001,-2.166748e-005,1.190186e-005
1.580000e-001,-2.243042e-005,1.373291e-005
1.590000e-001,-1.861572e-005,1.235962e-005
1.600000e-001,-1.861572e-005,8.697510e-006
1.610000e-001,-1.327515e-005,3.051758e-006
1.620000e-001,-1.068115e-005,1.754761e-005
1.630000e-001,-1.510620e-005,2.120972e-005
1.640000e-001,-1.434326e-005,1.113892e-005
1.650000e-001,-1.556396e-005,7.781982e-006
1.660000e-001,-1.678467e-005,7.629395e-007
1.670000e-001,-1.724243e-005,-7.476807e-006
1.680000e-001,-1.388550e-005,-7.781982e-006
1.690000e-001,-1.770020e-005,-6.103516e-006
1.700000e-001,-1.785278e-005,-1.129150e-005
1.710000e-001,-1.632690e-005,-1.296997e-005
1.720000e-001,-1.724243e-005,-6.103516e-006
1.730000e-001,-1.708984e-005,3.051758e-007
1.740000e-001,-1.815796e-005,-6.256104e-006
1.750000e-001,-1.342773e-005,1.617432e-005
1.760000e-001,-9.765625e-006,4.898071e-005
1.770000e-001,-1.129150e-005,4.623413e-005
1.780000e-001,-1.449585e-005,2.532959e-005
1.790000e-001,-1.586914e-005,3.967285e-006
1.800000e-001,-1.770020e-005,-2.136230e-006
1.810000e-001,-1.525879e-005,-1.159668e-005
1.820000e-001,-1.266479e-005,-2.792358e-005
1.830000e-001,-7.934570e-006,-1.052856e-005
1.840000e-001,-8.087158e-006,3.662109e-006
1.850000e-001,-9.765625e-006,1.144409e-005
1.860000e-001,-1.022339e-005,2.441406e-005
1.870000e-001,-1.464844e-005,3.204346e-006
1.880000e-001,-2.441406e-005,-1.861572e-005
1.890000e-001,-2.227783e-005,-4.409790e-005
1.900000e-001,-1.892090e-005,-5.767822e-005
1.910000e-001,-1.281738e-005,-4.180908e-005
1.920000e-001,-1.251221e-005,1.251221e-005
1.930000e-001,-1.495361e-005,1.739502e-005
1.940000e-001,-1.205444e-005,8.087158e-006
1.950000e-001,-1.480103e-005,2.441406e-006
1.960000e-001,-9.307861e-006,3.067017e-005
1.970000e-001,-6.256104e-006,4.287720e-005
1.980000e-001,-4.730225e-006,7.476807e-006
1.990000e-001,-9.002686e-006,3.509521e-006
2.000000e-001,-1.312256e-005,1.800537e-005
2.010000e-001,-1.693726e-005,2.288818e-005
2.020000e-001,-1.174927e-005,2.517700e-005
2.030000e-001,-1.068115e-005,1.647949e-005
2.040000e-001,-1.495361e-005,1.464844e-005
2.050000e-001,-1.663208e-005,-3.967285e-006
2.060000e-001,-1.480103e-005,-1.235962e-005
2.070000e-001,-1.571655e-005,-1.373291e-006
2.080000e-001,-1.861572e-005,-2.593994e-006
2.090000e-001,-2.243042e-005,9.613037e-006
2.100000e-001,-2.243042e-005,2.777100e-005
2.110000e-001,-2.212524e-005,-1.373291e-006
2.120000e-001,-2.014160e-005,-6.103516e-007
2.130000e-001,-1.800537e-005,-7.629395e-007
2.140000e-001,-1.510620e-005,-2.243042e-005
2.150000e-001,-1.388550e-005,-7.324219e-006
2.160000e-001,-8.850098e-006,-5.493164e-006
2.170000e-001,-9.307861e-006,4.577637e-006
2.180000e-001,-4.425049e-006,2.014160e-005
2.190000e-001,-4.119873e-006,5.157471e-005
2.200000e-001,-7.934570e-006,2.929687e-005
2.210000e-001,-7.324219e-006,-4.272461e-006
2.220000e-001,-3.662109e-006,-1.007080e-005
2.230000e-001,-4.272461e-006,-4.425049e-006
2.240000e-001,-6.713867e-006,-2.044678e-005
2.250000e-001,-9.613037e-006,-7.019043e-006
2.260000e-001,-1.281738e-005,2.288818e-006
2.270000e-001,-1.846313e-005,5.798340e-006
2.280000e-001,-1.983643e-005,-2.624512e-005
2.290000e-001,-1.907349e-005,-7.171631e-005
2.300000e-001,-1.907349e-005,-7.354736e-005
2.310000e-001,-2.563477e-005,-5.020142e-005
2.320000e-001,-2.655029e-005,-6.393433e-005
2.330000e-001,-2.487183e-005,3.509521e-006
2.340000e-001,-2.182007e-005,8.117676e-005
2.350000e-001,-1.510620e-005,7.995605e-005
2.360000e-001,-1.174927e-005,5.279541e-005
2.370000e-001,-1.251221e-005,2.166748e-005
2.380000e-001,-1.007080e-005,9.155273e-006
2.390000e-001,-1.190186e-005,2.624512e-005
2.400000e-001,-1.312256e-005,3.707886e-005
2.410000e-001,-1.556396e-005,2.944946e-005
2.420000e-001,-1.083374e-005,2.227783e-005
2.430000e-001,-1.052856e-005,1.663208e-005
2.440000e-001,-1.312256e-005,1.602173e-005
2.450000e-001,-1.388550e-005,1.068115e-005
2.460000e-001,-1.388550e-005,-1.220703e-006
2.470000e-001,-1.464844e-005,-1.464844e-005
2.480000e-001,-2.059937e-005,-2.090454e-005
2.490000e-001,-2.090454e-005,-1.708984e-005
2.500000e-001,-2.380371e-005,-1.602173e-005
2.510000e-001,-2.105713e-005,-4.272461e-006
2.520000e-001,-2.136230e-005,-9.918213e-006
2.530000e-001,-1.266479e-005,-1.403809e-005
2.540000e-001,-1.144409e-005,4.425049e-006
2.550000e-001,-1.312256e-005,4.135132e-005
2.560000e-001,-5.187988e-006,4.287720e-005
2.570000e-001,-5.493164e-006,-5.493164e-006
2.580000e-001,-5.950928e-006,-1.266479e-005
2.590000e-001,-5.035400e-006,-1.922607e-005
2.600000e-001,-6.256104e-006,-9.155273e-006
2.610000e-001,-4.119873e-006,-1.541138e-005
2.620000e-001,-3.356934e-006,-1.083374e-005
2.630000e-001,-5.187988e-006,4.577637e-007
2.640000e-001,-1.205444e-005,4.119873e-006
