Label: EMG Ch1 Sampling frequency: 1.000000e+003 Number of points: 10000 X start: 0.000000e+000 Unit: V Domain Unit: s
Start Trigger Method: Manual
Stop Trigger Method: Manual
Use Camera: NO
Video File Path: Set1[Rep1].avi
System Gain: 1.000000e+003
A/D card Gain: 1.000000e+000
Bit Resolution: 1.525879e-004
Bias: 0.000000e+000
High pass cutoff frequency: 2.000000e+001
Low pass cutoff frequency: 4.500000e+002
X [s],EMG Ch1 [V]
1.850000e-001,4.241943e-005
1.860000e-001,4.608154e-005
1.870000e-001,4.486084e-005
1.880000e-001,4.348755e-005
1.890000e-001,4.302979e-005
1.900000e-001,4.272461e-005
1.910000e-001,4.165649e-005
1.920000e-001,4.348755e-005
1.930000e-001,4.165649e-005
1.940000e-001,4.272461e-005
1.950000e-001,4.760742e-005
1.960000e-001,4.791260e-005
1.970000e-001,4.760742e-005
1.980000e-001,4.791260e-005
1.990000e-001,4.653931e-005
2.000000e-001,4.455566e-005
2.010000e-001,4.440308e-005
2.020000e-001,4.516602e-005
2.030000e-001,4.623413e-005
2.040000e-001,4.257202e-005
2.050000e-001,4.135132e-005
2.060000e-001,4.043579e-005
2.070000e-001,4.089355e-005
2.080000e-001,4.318237e-005
2.090000e-001,4.211426e-005
2.100000e-001,4.364014e-005
2.110000e-001,4.516602e-005
2.120000e-001,4.165649e-005
2.130000e-001,4.104614e-005
2.140000e-001,4.196167e-005
2.150000e-001,4.364014e-005
2.160000e-001,4.592896e-005
2.170000e-001,4.577637e-005
2.180000e-001,4.623413e-005
2.190000e-001,4.608154e-005
2.200000e-001,4.440308e-005
2.210000e-001,4.379272e-005
2.220000e-001,4.287720e-005
2.230000e-001,4.440308e-005
2.240000e-001,4.470825e-005
2.250000e-001,4.241943e-005
2.260000e-001,4.379272e-005
2.270000e-001,4.394531e-005
2.280000e-001,4.577637e-005
2.290000e-001,4.623413e-005
2.300000e-001,4.455566e-005
2.310000e-001,4.028320e-005
2.320000e-001,3.753662e-005
2.330000e-001,4.226685e-005
2.340000e-001,4.440308e-005
2.350000e-001,4.425049e-005
2.360000e-001,4.333496e-005
2.370000e-001,4.882813e-005
2.380000e-001,4.547119e-005
2.390000e-001,4.180908e-005
2.400000e-001,3.967285e-005
2.410000e-001,4.241943e-005
2.420000e-001,4.211426e-005
2.430000e-001,4.394531e-005
2.440000e-001,4.028320e-005
2.450000e-001,4.440308e-005
2.460000e-001,4.730225e-005
2.470000e-001,4.455566e-005
2.480000e-001,4.455566e-005
2.490000e-001,4.257202e-005
